S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,VOTES CASTED,VOTE %,MARGIN,CATEGORY,ELECTION TYPE
1,2009,Andaman & Nicobar Islands,Andaman & Nicobar,0,Bishnu Pada Ray,Male,Indian National Congress,INC,0.0,0.0,0.0,0,OTH,Bypoll
2,1996,Andhra Pradesh,Dhone,0,K.E. Prabhakar,Male,Telugu Desam Party,TDP,148650.0,102415.0,51.2,0,OTH,Bypoll
3,1996,Andhra Pradesh,Harishchandrapuram,4,Atchannaidu Kinjarapu,Male,Telugu Desam Party,TDP,140536.0,103285.0,61.76,0,OTH,Bypoll
4,1996,Andhra Pradesh,Hindupur,164,Nandamuri Harikrishna,Male,Telugu Desam Party,TDP,182243.0,119447.0,72.0,0,OTH,Bypoll
5,1996,Andhra Pradesh,Jadcherla,0,M. Chandra Sekhar,Male,Telugu Desam Party,TDP,163515.0,114670.0,68.46,0,OTH,Bypoll
6,1996,Andhra Pradesh,Jagtial,0,L. Ramana,Male,Telugu Desam Party,TDP,151240.0,99410.0,53.1,0,OTH,Bypoll
7,1996,Andhra Pradesh,Kodangal,0,G. Gurunath Reddy,Male,Telugu Desam Party,TDP,155420.0,98450.0,48.9,0,OTH,Bypoll
8,1996,Andhra Pradesh,Mulug,0,Ajmeera Chandulal,Male,Telugu Desam Party,TDP,138420.0,103142.0,47.4,0,OTH,Bypoll
9,1996,Andhra Pradesh,Mummidivaram,53,G.M.C. Balayogi,Male,Telugu Desam Party,TDP,128450.0,92114.0,49.8,0,OTH,Bypoll
10,1996,Andhra Pradesh,Nagaram,57,K. S. R. Murthy,Male,Indian National Congress,INC,121440.0,85412.0,45.3,0,OTH,Bypoll
11,1996,Andhra Pradesh,Nandyal,27,Bhuma Nagi Reddy,Male,Telugu Desam Party,TDP,1123437.0,707384.0,80.94,0,OTH,Bypoll
12,1996,Andhra Pradesh,Narasapur,59,Kothapalli Janakiram,Male,Telugu Desam Party,TDP,158343.0,119576.0,50.51,0,OTH,Bypoll
13,1996,Andhra Pradesh,Narasipatnam,36,Ch. Ayyanna Patrudu,Male,Telugu Desam Party,TDP,134812.0,115170.0,52.1,0,OTH,Bypoll
14,1996,Andhra Pradesh,Nirmal,0,S. Venugopala Chary,Male,Telugu Desam Party,TDP,142310.0,108640.0,54.2,0,OTH,Bypoll
15,1996,Andhra Pradesh,Pathapatnam,6,Lakshmi Parvathi N.,Female,Telugu Desam Party (Lakshmi Parvathi),Lion,126691.0,90187.0,48.99,0,OTH,Bypoll
16,1996,Andhra Pradesh,Penukonda,166,Paritala Ravindra,Male,Telugu Desam Party,TDP,161165.0,110691.0,77.13,0,OTH,Bypoll
17,1996,Andhra Pradesh,Punganur,143,N. Amaranatha Reddy,Male,Telugu Desam Party,TDP,152410.0,115420.0,55.4,0,OTH,Bypoll
18,1996,Andhra Pradesh,Sujanagar,0,B. Venkateswara Rao,Male,Communist Party of India (Marxist),CPM,144560.0,92140.0,44.2,0,OTH,Bypoll
19,1997,Andhra Pradesh,Allagadda,0,Bhuma Shobha Rani,Female,Telugu Desam Party,TDP,170560.0,106571.0,71.81,0,OTH,Bypoll
20,1997,Andhra Pradesh,Darsi,121,Narapusetty Papa Rao,Male,Telugu Desam Party,TDP,190940.0,122683.0,52.53,0,OTH,Bypoll
21,1998,Andhra Pradesh,Andole,0,P. Babu Mohan,Male,Telugu Desam Party,TDP,139947.0,100497.0,54.69,0,OTH,Bypoll
