S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,VOTES CASTED,VOTE %,MARGIN,CATEGORY,ELECTION TYPE
1,1967,Andaman & Nicobar Islands,Andaman & Nicobar,1,K. R. Ganesh,Male,Independent,IND,47064.0,36924.0,52.57,10040,GEN,Lok Sabha
2,1971,Andaman & Nicobar Islands,Andaman & Nicobar,1,K. R. Ganesh,Male,Indian National Congress,INC,63121.0,44531.0,61.48,17333,GEN,Lok Sabha
3,1977,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Indian National Congress,INC,85312.0,60590.0,58.45,10232,GEN,Lok Sabha
4,1980,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Indian National Congress,INC,96211.0,71211.0,53.21,12110,GEN,Lok Sabha
5,1984,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Indian National Congress,INC,115410.0,91093.0,52.85,19136,GEN,Lok Sabha
6,1989,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Independent,IND,160910.0,115403.0,47.21,18914,GEN,Lok Sabha
7,1991,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Independent,IND,178211.0,107314.0,50.39,6701,GEN,Lok Sabha
8,1996,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Independent,IND,209410.0,130918.0,58.22,43545,GEN,Lok Sabha
9,1998,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Indian National Congress,INC,233531.0,148512.0,35.91,544,GEN,Lok Sabha
10,1999,Andaman & Nicobar Islands,Andaman & Nicobar,1,Bishnu Pada Ray,Male,Independent,IND,247389.0,147102.0,52.74,13947,GEN,Lok Sabha
11,2004,Andaman & Nicobar Islands,Andaman & Nicobar,1,Manoranjan Bhakta,Male,Independent,IND,241999.0,154042.0,55.77,30500,GEN,Lok Sabha
12,2009,Andaman & Nicobar Islands,Andaman & Nicobar,1,Bishnu Pada Ray,Male,Independent,IND,265108.0,170121.0,44.21,2990,GEN,Lok Sabha
13,2014,Andaman & Nicobar Islands,Andaman & Nicobar,1,Bishnu Pada Ray,Male,Independent,IND,269360.0,190328.0,47.8,7812,GEN,Lok Sabha
14,2019,Andaman & Nicobar Islands,Andaman & Nicobar,1,Kuldeep Rai Sharma,Male,Independent,IND,317878.0,207296.0,45.98,1407,GEN,Lok Sabha
15,2024,Andaman & Nicobar Islands,Andaman & Nicobar,1,Bishnu Pada Ray,Male,Independent,IND,315148.0,202514.0,50.59,24396,GEN,Lok Sabha
16,1955,Andhra Pradesh,Addanki,102,Nagineni Vnakaiah,Male,Independent,IND,53910.0,36912.0,59.25,6828,GEN,Vidhan Sabha
